TT id,LinkColorHex,ColorTeam (from LinkColorHex),IMG WP,ColorSkin (from LinkColorHex),ShapesLink,ShapeRarity,ColorRarity,RarityTotal,RarityTotal TTid Factor,TTidFactorCal,RaritiesConcatenated,RaritiesArray,Concatenate Attibutes,Concatenate Attributes and Array
17,#e27f84,CherryBosoms_OO,t_12.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/8-GPvjZ4o8Sq8QD3zSkhIg/2ZHejtn2apsz65VBzOqEPRDRAiq_8vq6a8tjWrILHynhtDU73NkZwnhiX_4ij41DCF9AYwVuggc9G9oLP22CEQ/7BLQYyjvKiztJK528jajo9ynBNPaNQgHzl_zJBMZmDI),#891946,Artemis,12.50,0.69,0.056,0.0094,0.1700,RC-0.69_RS-12.5_RT-0.06,RC-0.69_RS-12.5_RT-0.06,tts_CherryBosoms_OO-Artemis-17_RC-0.69_RS-12.5_RT-0.06,tts_CherryBosoms_OO-Artemis-17_
53,#56c195,GreenFairies,t_99.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/wWgABxPpzA6EpRxWG5NyzQ/BW1tgt90pV3DbUJfBC1e4lZULPsHpLnKI3w4yaR6GB7a0ZdeZFnDayVmh-2DydXP79S9uayIRkSz-4q0uugDrg/FQGI99xj5lmhnCyXOISJ6fO7gHM6XLZRwUXYM0Ikg5g),#1E8774,Artemis,12.50,0.69,0.056,0.0294,0.5300,RC-0.69_RS-12.5_RT-0.06,RC-0.69_RS-12.5_RT-0.06,tts_GreenFairies-Artemis-53_RC-0.69_RS-12.5_RT-0.06,tts_GreenFairies-Artemis-53_
57,#9b7bc1,PassionFronts,t_121.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/0nzZCZ-DvLJmbLqGwmJUmQ/Or5jMfIS6P2I7qQdiGNEfb52mWEqWZT2ymeDxnRh2SQG1jVZfF7-EOC-sKOpfvebb2wIw4Kz3mW8AoaY2893PD0l1U6bmSg6DOf2xqPv-zM/nlQf149RvyQm3n3dSVthD7ys4WUR88NmdE3IEXpVPbA),#632F87,Artemis,12.50,0.69,0.056,0.0317,0.5700,RC-0.69_RS-12.5_RT-0.06,RC-0.69_RS-12.5_RT-0.06,tts_PassionFronts-Artemis-57_RC-0.69_RS-12.5_RT-0.06,tts_PassionFronts-Artemis-57_
2,#c1958e,ChocoLattes_OO,t_7.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/u1cVnSff2i84UPdXUtZlhg/Q2zIbKPs4lJ8gVixEyusbbCQuOAF-FKSIz0HZO4im5GA6l-prNwe2hKyND4dQm8Dxic-QkgZcYN9YrM6vC2KZg/mdUcn96h1R_MenxfDHNK3eCjSwskuj0Cldh5Z-5ooWM),#874D3C,Oh Buoys,8.33,0.69,0.083,0.0017,0.0200,RC-0.69_RS-8.33_RT-0.08,RC-0.69_RS-8.33_RT-0.08,tts_ChocoLattes_OO-Oh Buoys-2_RC-0.69_RS-8.33_RT-0.08,tts_ChocoLattes_OO-Oh Buoys-2_
50,#8ac17b,GreenTeatea,t_83.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/GYLBOxQX54lbnzVC_5jbzA/HtcnkgZquSJ2earFqKCue0T0SB0Q5FbdLdH4j40CosKv3_-bUv0HKMVwiqnsIBiPVST9sLK0ePFJwaoa27AL3Q/t7KKpDsIgym4MmVSUHzKHpVUxD7g0p2AsMr4VV9dxj4),#31872F,Artemis,12.50,1.39,0.111,0.0556,0.5000,RC-1.39_RS-12.5_RT-0.11,RC-1.39_RS-12.5_RT-0.11,tts_GreenTeatea-Artemis-50_RC-1.39_RS-12.5_RT-0.11,tts_GreenTeatea-Artemis-50_
58,#c12eb7,BrasBerries,t_141.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/P754Jqim2f6ny7Io6ywlig/59jsvH6msmuHiDJieWgpHk1XNGd9-_KOvLjD3NrejPPaik4hNqhwec_-5rCAiH7ZOgbqQ0mEdAZRbm1c4ikktn7ZSPq6fxaHaKIbsmmFyj4/WZkH5OLNWecN_FtMAPmy0drJv-oh4g86wkSc1xLKxDM),#871362,Artemis,12.50,1.39,0.111,0.0644,0.5800,RC-1.39_RS-12.5_RT-0.11,RC-1.39_RS-12.5_RT-0.11,tts_BrasBerries-Artemis-58_RC-1.39_RS-12.5_RT-0.11,tts_BrasBerries-Artemis-58_
63,#e2dd40,LimeJellies,t_8.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/75B_o9ws1fmanWxxTJhE3A/FODAJKNCopNPMAc4EX0STroeOcgbvpmiOzc3ZTjk1ln9yg2XsLm8uwIYC0Khklx6pRzMsDlInmNk3q3qqWpnOw/4QP9o0duM_J1MG3LIwP7qNbRZErMVdc91ynvY8-0NWg),#377813,Artemis,12.50,1.39,0.111,0.0700,0.6300,RC-1.39_RS-12.5_RT-0.11,RC-1.39_RS-12.5_RT-0.11,tts_LimeJellies-Artemis-63_RC-1.39_RS-12.5_RT-0.11,tts_LimeJellies-Artemis-63_
56,#e2dd40,LimeJellies,t_55.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/fd55jlKDAitZhJDQvfUUfg/qw_0ZByj6hS_7Ro7Md065XlGtkCYS9_QwFVEC9-FzycIVXSgTgQhOClGs9B37oserbRESF3AltGx0oagfui72w/w_4-DQ3tRv-iRER5VSmfZuBGUqhULMkEJvpflE3WOXc),#377813,Perkies,10.42,1.39,0.133,0.0747,0.5600,RC-1.39_RS-10.42_RT-0.13,RC-1.39_RS-10.42_RT-0.13,tts_LimeJellies-Perkies-56_RC-1.39_RS-10.42_RT-0.13,tts_LimeJellies-Perkies-56_
59,#c12eb7,BrasBerries,t_54.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/gd5GH6ID-2JXE_N0u5M2Pg/H-eJ7cwvRechp4QSgVESnDIiJ-YrSGTIh3xY_zxw8vYT9joaVOS56_J4SZ5anecN7miF0RXJmkPWnq8Bu6i-qg/6LBsTJNAH3OpTgELFNRgCINk_wPVUa07KjKZYanuKOY),#871362,Perkies,10.42,1.39,0.133,0.0787,0.5900,RC-1.39_RS-10.42_RT-0.13,RC-1.39_RS-10.42_RT-0.13,tts_BrasBerries-Perkies-59_RC-1.39_RS-10.42_RT-0.13,tts_BrasBerries-Perkies-59_
46,#8ac17b,GreenTeatea,t_104.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/84brPvWB63asz_jqc1TSDg/3g3AA4jcRiSadQ55OMDv5wbYW1w3AHIvPnA9P8NTCqjec2EQygN_QQZQEFhz82PIT8hMmfWYNq3WAVxcNpRzeYKxyZtM2KST51LHx4kauVY/-djSLaqQfP3Ctbp9NlViBxCIldEtP0UYAVkcgWiniLE),#31872F,Trooper,6.94,1.39,0.200,0.0920,0.4600,RC-1.39_RS-6.94_RT-0.2,RC-1.39_RS-6.94_RT-0.2,tts_GreenTeatea-Trooper-46_RC-1.39_RS-6.94_RT-0.2,tts_GreenTeatea-Trooper-46_
61,#70e2b4,RackBerries,t_143.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/FL3H5BE29P5Z1tv7ablmOQ/JN8UGwKUkSkRY7z-nJUhAyF-6RC4oCDghZEvRXYRZ3EXt0_zghnaT6MwEHOzY53l2EsbjUkm9rgux4j33Fs8kw1XRbOAlJZOj1po9vSH6CU/Cng6QoCAt86pXDIx0iHnEEUZsSjaUhEGgastb6dL65M),#385978,Artemis,12.50,2.78,0.222,0.1356,0.6100,RC-2.78_RS-12.5_RT-0.22,RC-2.78_RS-12.5_RT-0.22,tts_RackBerries-Artemis-61_RC-2.78_RS-12.5_RT-0.22,tts_RackBerries-Artemis-61_
62,#70e2b4,RackBerries,t_66.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/UZdYIM9LzRJeUsluymzLiA/RiFa9NeBIuHuH9vTP1Q2lhOV6hSuCI_63FY4yZfoUP2glsZLuK7q2pT58qJUHpUPDBeQx6gjCQaCNnInVULsyA/Vd4GgjdPZvJ1ZivRyqP8TtnMmYluwUaK7lQ_E-DLF3E),#385978,Perkies,10.42,2.78,0.267,0.1653,0.6200,RC-2.78_RS-10.42_RT-0.27,RC-2.78_RS-10.42_RT-0.27,tts_RackBerries-Perkies-62_RC-2.78_RS-10.42_RT-0.27,tts_RackBerries-Perkies-62_
64,#70e2b4,RackBerries,t_76.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/Rg1mHiGgmtimLsMvvBQSUw/CAPKEeT08RIuvk079OkiDcpZOgfv37pS5zEa-Wi0mJcfgpL6B9g701BmOTBeWP029ZCDYj28YPTLowStnqDWsQ/IQnyGUMBhCN8j06kJ6v6Zf1XrAi4-2xJx954a_vM_q4),#385978,Shaggies,6.94,2.78,0.400,0.2560,0.6400,RC-2.78_RS-6.94_RT-0.4,RC-2.78_RS-6.94_RT-0.4,tts_RackBerries-Shaggies-64_RC-2.78_RS-6.94_RT-0.4,tts_RackBerries-Shaggies-64_
55,#70e2b4,RackBerries,t_103.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/CCAHCrqgAIRaqvoiDeBNpA/jaaIrS9opGgtIRbOVln9hDdvnoDNRxsvTKpaYtWxelaHp8agGsJ2XR6b6ckJeHr4v-80NTZyzgkx5rjgOzNYO8o9JZ53EBph6DAjvF6dOis/ilBpuHG9WOrJLcOIgKHrzFz3gP4bZL5hy29y98UHOq8),#385978,Buffies,6.25,2.78,0.444,0.2444,0.5500,RC-2.78_RS-6.25_RT-0.44,RC-2.78_RS-6.25_RT-0.44,tts_RackBerries-Buffies-55_RC-2.78_RS-6.25_RT-0.44,tts_RackBerries-Buffies-55_
86,#ebf2a7,PaPairmint,t_101.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/LRBw9BFXxzJxbKJ9OaSQCw/yGWvSA2Yj0cNSXsEOeH_xuq7LnAHf8OivvhfkwnYgwymJ2NPbnWCt5HhthYU7lA6bShe1jbc4oQoi5Yhp3y1mw4GhQjV1RGpwh_SqIancFg/Fu-4mvGhXO32LGi0w1aodFkuKokaqKdBItXvf7Qo-b8),#BFD65B,Artemis,12.50,6.94,0.556,0.4778,0.8600,RC-6.94_RS-12.5_RT-0.56,RC-6.94_RS-12.5_RT-0.56,tts_PaPairmint-Artemis-86_RC-6.94_RS-12.5_RT-0.56,tts_PaPairmint-Artemis-86_
88,#cdbef7,PurpleHush,t_56.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/y49iBI7jlBG7BwW2b5rleQ/fASiRaxDpVCktUOkFzBEjXkucKEzcvs-1gPL0ISJIGwZoeQzH63BsUfftBbccdT6kjRcj8e_1dVNp95Ztyl8uA/NX0lYtScvrI-gUPMqOo9omICVle0u2IywOvEq1ZWuV4),#5F4B8B,Artemis,12.50,6.94,0.556,0.4889,0.8800,RC-6.94_RS-12.5_RT-0.56,RC-6.94_RS-12.5_RT-0.56,tts_PurpleHush-Artemis-88_RC-6.94_RS-12.5_RT-0.56,tts_PurpleHush-Artemis-88_
47,#e6bbb4,ChocoLattes,t_79.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/-uBa9Qqv9hVO6cKlPHpSiQ/uP7v8Dhu58hqzCji1OPj2X7_7DiCEBRzDmZJLTESqWheQqn9DLlFhDfrkJEcgwA9WWe9v1kNkb4ZUEvlE66PtA/HP8qJ7ngzPfJocmE_WCcyvkMUOMgfYk_1NiLrrdRs-M),#874D3C,Artemis,12.50,6.94,0.556,0.2611,0.4700,RC-6.94_RS-12.5_RT-0.56,RC-6.94_RS-12.5_RT-0.56,tts_ChocoLattes-Artemis-47_RC-6.94_RS-12.5_RT-0.56,tts_ChocoLattes-Artemis-47_
37,#ffd8bd,PeCans,t_100.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/SsoBuIkdarV_jPQnnY4RSg/xiq5zTKCeeBcOkXNCmNUfOriRHX2lGildlDMSujgVevzB_FVu-G-bxKCB14AtwOmrzgx-3e8TBjEJC3f0lXt6K_MCzjbSEiq7NWv3zUZ5Ow/WpCw3fYNPkarWc7KbFA3Q703R98437ylV4NFGgsp6fg),#b7896a,Artemis,12.50,6.94,0.556,0.2056,0.3700,RC-6.94_RS-12.5_RT-0.56,RC-6.94_RS-12.5_RT-0.56,tts_PeCans-Artemis-37_RC-6.94_RS-12.5_RT-0.56,tts_PeCans-Artemis-37_
54,#ff9a9f,CherryBosoms,t_139.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/5N2ZLg2ya3Rq6yW7QUbyWw/Utm0Kxufgq5QM3twBNE3F_hbbW-G8wt8nYbZGj8z7W-cxiBtT8zcL3lnC-hjPoAIaDwB7cJqQTyxETfz1UGP4icN8WuE7yINHXKQ7kUj7XQ/1uXoaL5K9f_w0A74_J2rXkTv4upZYKUqGLPGFXIjj10),#891946,Perkies,10.42,6.25,0.600,0.3240,0.5400,RC-6.25_RS-10.42_RT-0.6,RC-6.25_RS-10.42_RT-0.6,tts_CherryBosoms-Perkies-54_RC-6.25_RS-10.42_RT-0.6,tts_CherryBosoms-Perkies-54_
97,#9bd3f9,BooBerries,t_67.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/bieAXGy9EVGARWLv0an95w/yZIz8ZFnNmJL8q1OzaZyt7WzpnmXXTqdvXZ54YvRYNLiVwA80CbO76klO1zUITQfZP0_OjZ081V9SiPolNee9Q/eh623g7xkPWAiGsPRCQ34iL4evGQoka2txvbm_14zkM),#30B4E2,Artemis,12.50,7.64,0.611,0.5928,0.9700,RC-7.64_RS-12.5_RT-0.61,RC-7.64_RS-12.5_RT-0.61,tts_BooBerries-Artemis-97_RC-7.64_RS-12.5_RT-0.61,tts_BooBerries-Artemis-97_
96,#ffe1b6,TataColadas,t_78.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/n0o-uRFZHFTTtQ0eS7OM_g/0VpNSArjmcZy90HSp-iQf3WbvQLjwUYItoIzINvQhvUz4zlIG0dwnun8fvg-h7Lkicd54J3Bs1nYSsetr0_aeA/iKC2p2hKNtCb-JtnQk7q_790ra6pKZ1zeQaNEdN6Kzs),#F9C87A,Artemis,12.50,7.64,0.611,0.5867,0.9600,RC-7.64_RS-12.5_RT-0.61,RC-7.64_RS-12.5_RT-0.61,tts_TataColadas-Artemis-96_RC-7.64_RS-12.5_RT-0.61,tts_TataColadas-Artemis-96_
49,#f9b4e4,WaterMelons,t_122.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/OEQ6uRqCs6Aj_5rrdYfr0w/aAaj7eicdx2KIyHoUhBXLNeZFGKkjLrp4rvkT97YEWxjFs8BJU1fhCklBk0wge4cG9qG9uUPKri-wnCyl90_lW262XqFBIwY9RFRPIfNRdY/-Xw6FtSsG0GCQAcxXoU5i36o7rwdYIga92dkQeQgsQw),#EF6EAA,Artemis,12.50,7.64,0.611,0.2994,0.4900,RC-7.64_RS-12.5_RT-0.61,RC-7.64_RS-12.5_RT-0.61,tts_WaterMelons-Artemis-49_RC-7.64_RS-12.5_RT-0.61,tts_WaterMelons-Artemis-49_
140,#f4d4fc,StarBust,t_23.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/iiDtwlhtnyV9lUE4hd_7iw/BcBkeqFVwtKvmZFnRBJFmUcnzFN9FsDWf19PFgpYqhjPjJSxWLWd_Y71YMpUpfjlDsrYTQcJ9wg1lgGJreusrg/ky0rJ1eQ01lXiQq6K1d9kF5s_nljWhCsySzvgnBzrHE),#F3A4FF,Artemis,12.50,8.33,0.667,0.9333,1.4000,RC-8.33_RS-12.5_RT-0.67,RC-8.33_RS-12.5_RT-0.67,tts_StarBust-Artemis-140_RC-8.33_RS-12.5_RT-0.67,tts_StarBust-Artemis-140_
3,#eacece,CocoNaugthy,t_24.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/7e6tbJy2d2Ib0jppDB0HgA/eEcFKivxdvvtMySD_HwjzAOm18qgnUVb4mineieenhJ4_qlYDuKSUdnwm-Ia2YbI4Y5GrRA5XWvBZEozClXEGg/nbj-u0jFn6aLEU6S12XdMNSAtVNXRKPtKVIZb37WGVo),#D6AAAA,Artemis,12.50,8.33,0.667,0.0200,0.0300,RC-8.33_RS-12.5_RT-0.67,RC-8.33_RS-12.5_RT-0.67,tts_CocoNaugthy-Artemis-3_RC-8.33_RS-12.5_RT-0.67,tts_CocoNaugthy-Artemis-3_
48,#FCDACA,ButterUdders,t_45.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/q-duJvHuxmQvsyjvXiG1sg/yOQigeMr4MpXD9mtTj4iJWaMw86HZiv6IhqBJ0LGOGNF1FqIDwCDFstyLtMsC9H4wLkSBKrwP38Xtowh587R8A/Fh3cnkcvDCA6P3wjuG1OQR865zkpstKNQR2hP3ELCDI),#F9BE9D,Artemis,12.50,8.33,0.667,0.3200,0.4800,RC-8.33_RS-12.5_RT-0.67,RC-8.33_RS-12.5_RT-0.67,tts_ButterUdders-Artemis-48_RC-8.33_RS-12.5_RT-0.67,tts_ButterUdders-Artemis-48_
15,#f9cdaf,CupCakes,t_133.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/S7FpMTWQT1_bddsxAew6Dg/lRDTjGJkQ5jAOV-yZ9hjvkVG-0RCeI8yU4DlQH6ZEbvlJpqtr7PaEgso6TnBem-II03RSZEAQPwxXfs3rim5Af03xJoEJUhI-BWiq5l4VLA/I7crSmdJXmFKaXpVrr9gQ65own6ThNsmZwRxHsA5hy0),#E29764,Artemis,12.50,8.33,0.667,0.1000,0.1500,RC-8.33_RS-12.5_RT-0.67,RC-8.33_RS-12.5_RT-0.67,tts_CupCakes-Artemis-15_RC-8.33_RS-12.5_RT-0.67,tts_CupCakes-Artemis-15_
134,#ffd8bd,PeCans,t_95.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/4BT30R5AquhHwY9uK4JScg/CZlXaY8cHa_reOQUEFXYA0F-64YC1ThJpWrGXi2oU28RhHRJOdLHBEXGI-tBUpga_Y59lsCGuGrjWC8QAtI4YA/FluASYA34H_6dAxX0mVe5rLLzCEB0OO94rh7RlK0v6c),#b7896a,Perkies,10.42,6.94,0.667,0.8933,1.3400,RC-6.94_RS-10.42_RT-0.67,RC-6.94_RS-10.42_RT-0.67,tts_PeCans-Perkies-134_RC-6.94_RS-10.42_RT-0.67,tts_PeCans-Perkies-134_
118,#ebf2a7,PaPairmint,t_106.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/vnym-ACtNTTthhNI0Z6Hbw/Ip_bdLVJdiNEP6e7vqXMt0YI-qpm7DqUHmNPKLeBZ7heFr5CegIPtJCd2SaE18td3CZxwDy6jX9lP3COQ9H_5JnrKDxJE1kykYFMNx7cAlY/zBSkzR80X20cywnIA7N2_GOOJqaBbziqeJgop-nTTnA),#BFD65B,Perkies,10.42,6.94,0.667,0.7867,1.1800,RC-6.94_RS-10.42_RT-0.67,RC-6.94_RS-10.42_RT-0.67,tts_PaPairmint-Perkies-118_RC-6.94_RS-10.42_RT-0.67,tts_PaPairmint-Perkies-118_
51,#e6bbb4,ChocoLattes,t_84.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/NCtlygM-2fTcrgu26dzq-w/GgxhJF2teG9f56eyw1F1y5lFKsGQGv036CQCc_xsCEcD6tQAVwni78ALCHcQ63DOgQ7hkv5M8YJEKKDT-rdBjQ/up5oquzaTWTVL-CatO1AKAhe5lIb54ArfsIeNI3WeaA),#874D3C,Perkies,10.42,6.94,0.667,0.3400,0.5100,RC-6.94_RS-10.42_RT-0.67,RC-6.94_RS-10.42_RT-0.67,tts_ChocoLattes-Perkies-51_RC-6.94_RS-10.42_RT-0.67,tts_ChocoLattes-Perkies-51_
66,#cdbef7,PurpleHush,t_50.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/u2ufGXq60JFg53sFny1gfg/ACAy5n6BTy-75E90l-vXZGHgPbWP3O1laUxIQjJoMmVi5jKDv0QfAPYpIvtrCqwy6S_GTkfQggOobgOSOLXCzA/Td88RaRpF-pE4BrSQlUfuAJPhBYf7Zw6fF5OOM7llx4),#5F4B8B,Perkies,10.42,6.94,0.667,0.4400,0.6600,RC-6.94_RS-10.42_RT-0.67,RC-6.94_RS-10.42_RT-0.67,tts_PurpleHush-Perkies-66_RC-6.94_RS-10.42_RT-0.67,tts_PurpleHush-Perkies-66_
43,#f9b4e4,WaterMelons,t_117.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/PNOWQMNSOl8ytbNFXWLkyw/GcdMqlggfEQVUYXNTqEQDBo5N2ObEjcPF3yIyO9grlzgqoSTwoBbYluuACKGRlaJqJqI86o1FufQ2lSnqzKxlQV6g6MnUP2Ba2RcDdYP_38/-XkYnWb2rmvlJbCJAViwkFz8gYjVq0AJUNcjjF6_szQ),#EF6EAA,Perkies,10.42,7.64,0.733,0.3153,0.4300,RC-7.64_RS-10.42_RT-0.73,RC-7.64_RS-10.42_RT-0.73,tts_WaterMelons-Perkies-43_RC-7.64_RS-10.42_RT-0.73,tts_WaterMelons-Perkies-43_
90,#9bd3f9,BooBerries,t_61.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/yu-O9Rs-VLRjdMdHwF0NaA/d-MJsPMUJqxDzZvLQtqZiRkjT5Uu2uNuqw4b47rsMM7rU5Doj6GztSTZOfGSC-6S3noOmF91m6oG2uPCd-_6uw/dH0-ZcbXso9g-vrupeuqAEglfVzZIjDxMYYcCMKxyI0),#30B4E2,Perkies,10.42,7.64,0.733,0.6600,0.9000,RC-7.64_RS-10.42_RT-0.73,RC-7.64_RS-10.42_RT-0.73,tts_BooBerries-Perkies-90_RC-7.64_RS-10.42_RT-0.73,tts_BooBerries-Perkies-90_
89,#ffe1b6,TataColadas,t_6.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/bEts4hnCfps616JmvIjyRA/-q4ltRGTHGvlK0vq_rIwLXFl6q2oGbj0IHfjfkIOqewXxAuBFpv2vHeprwzsR4UQaFbEecvC7tv7XF1ab3EfkA/WSouqI_0ZXLW_NBTFhCrU2pZeHm3BsJFh-v4_RHMCqA),#F9C87A,Perkies,10.42,7.64,0.733,0.6527,0.8900,RC-7.64_RS-10.42_RT-0.73,RC-7.64_RS-10.42_RT-0.73,tts_TataColadas-Perkies-89_RC-7.64_RS-10.42_RT-0.73,tts_TataColadas-Perkies-89_
144,#ff9a9f,CherryBosoms,t_140.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/Bl4MxHq8vC9mE1WcrIFxPw/uKVas79TZf123pFVnq6faksgURN7rzvpQ4MseyEk4P7RJx6fyGxUL3x8Cjh5CgzYRRLUw-_oa8R-z_1pqXuj7uchuOlZRwHJ0WypfkfiIuE/pSA-_ih0sH_0qj--Hh2Wrwn4rNM-pZuRv0Drr9R2dBo),#891946,TotalRecalls,8.33,6.25,0.750,1.0800,1.4400,RC-6.25_RS-8.33_RT-0.75,RC-6.25_RS-8.33_RT-0.75,tts_CherryBosoms-TotalRecalls-144_RC-6.25_RS-8.33_RT-0.75,tts_CherryBosoms-TotalRecalls-144_
20,#ff9a9f,CherryBosoms,t_136.svg (https://v5.airtableusercontent.com/v1/15/15/1680883200000/bjWJkmpUwmhvMaf_AiImiA/-prpedItxgsXicfFPZ4ktEkC80m7WwzMo6NO0mcQ2Kxu8bLuOrysFvb2lepJAXke263bwOCefS34TYl_8IjLXQ8km_vOmGpXkc7YHGPDEz4/XOCJNQX8s801HabpsLYoRMw0-WD-H8nNao2RmuQm_b4),#891946,Spades,8.33,6.25,0.750,0.1500,0.2000,RC-6.25_RS-8.33_RT-0.75,RC-6.25_RS-8.33_RT-0.75,tts_CherryBosoms-Spades-20_RC-6.25_RS-8.33_RT-0.75,tts_CherryBosoms-Spades-20_
