TT id,LinkColorHex,ColorTeam (from LinkColorHex),IMG WP,IMG IPFS (from LinkColorHex),ColorSkin (from LinkColorHex),ShapesLink,ShapeRarity,ColorRarity,RarityTotal,RaritiesConcatenated,RaritiesArray,Concatenate Attibutes,Concatenate Attributes and Array
144,#ff9a9f,CherryBosoms,t_140.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/J06fbWPdTGfGbsa1X665eA/xwFEvStu06OWoNa_1Cqj-a_L5Cf4i3v-GU39rJCa3_LMr5qH22tDI0-brMNRphOnKtW0pS8ZHhHEGzBlg5uoFFYq4kaKdQo17w1jbI_rdjw/iDHl16hvBTbmkuJI3mcznDp0FEAjg2mjq7CKcaUIggA),Qmb39mH5yMiQ7FzjYsLroiTpzNybhqERSUXk9kCwDsi63c (https://dl.airtable.com/.attachments/2778796d9f23ca2d6b20c2563674842b/acbdfb0b/Qmb39mH5yMiQ7FzjYsLroiTpzNybhqERSUXk9kCwDsi63c),#891946,TotalRecalls,8.33,6.25,0.75,RC-6.25_RS-8.33_RT-0.75,"RC:6.25,RS:8.33,RT:0.75","tts_CherryBosoms-TotalRecalls-144_{RC:6.25,RS:8.33,RT:0.75}",tts_CherryBosoms-TotalRecalls-144_
143,#f9b4e4,WaterMelons,t_118.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/Wfxv8MOuJGGGvNN_dKHmaA/xyPUj5QoDhFskMzthvL-rwDruJrQKs0IYMmx_8oL1bo_6-JiQwKG14TXP2wbGjVvupA39P-_qhSKEzzi8m1jkcayCc03ShyzcrUqRNfVhOI/sYVMhh2YPpH-TWYZay4siAQscSu5DTAKsQXCOFPiCTI),QmS3rDGmq2oqNpLqP9jgNX1kknK9Ao38X3FL7mpzjRnQsQ (https://dl.airtable.com/.attachments/89beccaec9c3a9150c7f1a01f8e45806/1e3015ec/QmS3rDGmq2oqNpLqP9jgNX1kknK9Ao38X3FL7mpzjRnQsQ),#EF6EAA,Oh Buoys,8.33,7.64,0.92,RC-7.64_RS-8.33_RT-0.92,"RC:7.64,RS:8.33,RT:0.92","tts_WaterMelons-Oh Buoys-143_{RC:7.64,RS:8.33,RT:0.92}",tts_WaterMelons-Oh Buoys-143_
142,#f4d4fc,StarBust,t_19.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/rrOcDHS6jAhIcjxeLf2lgw/ErAW2ETd-kgdXF7Cpk96fUICLEMrDlLVY-l0dDZBcxBO7cAVRPnFAHe_40YrRaIwLYdXgQL1YsdpDICrJ5JMHQ/iRZFpAjirNnpt8M3PwaiBrf6s9oXjkkh-nTHqkCXP0w),QmTPdpM75RhKchiBFacMyS2KdgAHQKzdvFCmZuXzax2qp7 (https://dl.airtable.com/.attachments/e76e553cca6e27005ffee1798ce70051/62e13224/QmTPdpM75RhKchiBFacMyS2KdgAHQKzdvFCmZuXzax2qp7),#F3A4FF,Shaggies,6.94,8.33,1.20,RC-8.33_RS-6.94_RT-1.2,"RC:8.33,RS:6.94,RT:1.2","tts_StarBust-Shaggies-142_{RC:8.33,RS:6.94,RT:1.2}",tts_StarBust-Shaggies-142_
141,#cdbef7,PurpleHush,t_46.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/TzNbblHdC_wKkMaNIt4wjw/HP70DwEeEpmAYcXbZnI4uym0xKAmSsufCdRXIm5oyyxkkGYHfXlvuIMogbM_Q7q2v_2qZ4j8NgBxSvwCXbRbsA/ax43p2hmsmBmLc9JslJGmuXD1v9aig4nr1T7Fi2PVMs),Qmf4kCwPg6St6mzsjPtfZmvAgfz4EdeBDwR85Gsb2zqhHL (https://dl.airtable.com/.attachments/9460015687eea7fe5fcbeb2596be435a/74d64864/Qmf4kCwPg6St6mzsjPtfZmvAgfz4EdeBDwR85Gsb2zqhHL),#5F4B8B,Hoots,8.33,6.94,0.83,RC-6.94_RS-8.33_RT-0.83,"RC:6.94,RS:8.33,RT:0.83","tts_PurpleHush-Hoots-141_{RC:6.94,RS:8.33,RT:0.83}",tts_PurpleHush-Hoots-141_
140,#f4d4fc,StarBust,t_23.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/3U0-ZygNsACg_hA2Y4GROw/B1POOV9oYuEbUzDaFldS3TUMpz25Nb_jmQ4kTzqkRfh8N1yI6YxzxWMlaPAzk987k08v4X4LBbkJ6oDXE2pZew/2JLLOMD3LZr288vEOy9f_Hqo3wLiv3oBMyk8E7ceB-o),QmTPdpM75RhKchiBFacMyS2KdgAHQKzdvFCmZuXzax2qp7 (https://dl.airtable.com/.attachments/e76e553cca6e27005ffee1798ce70051/62e13224/QmTPdpM75RhKchiBFacMyS2KdgAHQKzdvFCmZuXzax2qp7),#F3A4FF,Artemis,12.50,8.33,0.67,RC-8.33_RS-12.5_RT-0.67,"RC:8.33,RS:12.5,RT:0.67","tts_StarBust-Artemis-140_{RC:8.33,RS:12.5,RT:0.67}",tts_StarBust-Artemis-140_
139,#f4d4fc,StarBust,t_14.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/64Mr80nRh51mbwQ0RSxxIA/RYWi5okDxjRlUagmTuXDfByoWCtj1h3GQ0kfboYab0-Wzo3hNuurn5iykkINbxjKhSIi2oSk8o_P7HRGPIbOoA/feM7ncfZXMDrAYpCq98MfS1tADn2lVQXRwGvXlFtNH8),QmTPdpM75RhKchiBFacMyS2KdgAHQKzdvFCmZuXzax2qp7 (https://dl.airtable.com/.attachments/e76e553cca6e27005ffee1798ce70051/62e13224/QmTPdpM75RhKchiBFacMyS2KdgAHQKzdvFCmZuXzax2qp7),#F3A4FF,HolyMels,8.33,8.33,1.00,RC-8.33_RS-8.33_RT-1,"RC:8.33,RS:8.33,RT:1","tts_StarBust-HolyMels-139_{RC:8.33,RS:8.33,RT:1}",tts_StarBust-HolyMels-139_
138,#e6bbb4,ChocoLattes,t_86.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/xiPEgW9TG-Iy4AHpbu5CKQ/xLeQEdZxz8QvL-M_rj1PpABNLFSKDfZLD2NrV9RckhafyZDhhQA6_V53FikTGD2f2p5HGbxowanipQjqFDGJBw/sNpusfbn92iajq-2CAhuLpTiDCeR-2keDZHXnqMiUXI),QmVkHK9tHG8u3TYH5u163jVmA7WEbp11cLmkKTzpujzwTR (https://dl.airtable.com/.attachments/dfa4793867cb4ea644ca76eb9165d9d1/c01cb0c8/QmVkHK9tHG8u3TYH5u163jVmA7WEbp11cLmkKTzpujzwTR),#874D3C,Vintties,7.64,6.94,0.91,RC-6.94_RS-7.64_RT-0.91,"RC:6.94,RS:7.64,RT:0.91","tts_ChocoLattes-Vintties-138_{RC:6.94,RS:7.64,RT:0.91}",tts_ChocoLattes-Vintties-138_
137,#eacece,CocoNaugthy,t_30.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/n2Ydefkt-O22DP0MskiOxA/SW6Z11vjI7nvNF3v8-YT657NCJpkwUiQJfMZMazd41e36JjLoEZuosrHASU2RntHINb3QcnPWBSscd7-Rir80w/dAa1g3ZuOxjJWgahfX7JrhyO249XwwfvFAre4YfAnEc),QmSfZtwMCQ1nF2xt8vM3FDJudgw6uNwR6fdkuAn6hQ5cKS (https://dl.airtable.com/.attachments/ba3095af1bb3382da6d8d18c31c7483a/a51854b3/QmSfZtwMCQ1nF2xt8vM3FDJudgw6uNwR6fdkuAn6hQ5cKS),#D6AAAA,Perkies,10.42,8.33,0.80,RC-8.33_RS-10.42_RT-0.8,"RC:8.33,RS:10.42,RT:0.8","tts_CocoNaugthy-Perkies-137_{RC:8.33,RS:10.42,RT:0.8}",tts_CocoNaugthy-Perkies-137_
136,#cdbef7,PurpleHush,t_53.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/-2NpUWPbRUepbj4b1D75Lw/v1jdhNfK2UHHabnxoj4VIofIaKUXBzvMvKarnKBt_WDdugrdCegWzbWiOWBxsLEMVt4PKv6F-5Vvf3iMU7Z8nQ/BWJxhg3-IX4fmhPv-0dWTK-xr2bYEECxWC1Iv4035QA),Qmf4kCwPg6St6mzsjPtfZmvAgfz4EdeBDwR85Gsb2zqhHL (https://dl.airtable.com/.attachments/9460015687eea7fe5fcbeb2596be435a/74d64864/Qmf4kCwPg6St6mzsjPtfZmvAgfz4EdeBDwR85Gsb2zqhHL),#5F4B8B,Spades,8.33,6.94,0.83,RC-6.94_RS-8.33_RT-0.83,"RC:6.94,RS:8.33,RT:0.83","tts_PurpleHush-Spades-136_{RC:6.94,RS:8.33,RT:0.83}",tts_PurpleHush-Spades-136_
135,#9bd3f9,BooBerries,t_60.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/NZEPesbMtoExZLXKFxuC2g/2IrmV_AKJQMh7RUpahHQdy66DNg4kRVgXTOFaKeS9dgPVkQECP83S0GFF3xwIMuMAGcjKwxCEGf5R8MtDw62oA/ovQPzgliYbi6afOdCWHHRM2EWu6CiAFOFh2GuBvAOUQ),QmXRtjtcHHedBCutzLYcf8fU6LmSByTmUDEZf1buqKtpeN (https://dl.airtable.com/.attachments/a3ddc3d4f4bb4608b31720ddcb5277a6/8d073130/QmXRtjtcHHedBCutzLYcf8fU6LmSByTmUDEZf1buqKtpeN),#30B4E2,Vintties,7.64,7.64,1.00,RC-7.64_RS-7.64_RT-1,"RC:7.64,RS:7.64,RT:1","tts_BooBerries-Vintties-135_{RC:7.64,RS:7.64,RT:1}",tts_BooBerries-Vintties-135_
134,#ffd8bd,PeCans,t_95.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/RBj91ZM9I4B63eKduYq2bg/Rgmoa_mFXoGl6kL4mroC5jiJU2BjFsFM1GhX_bG8wkM4VHM8OFqOZifgCm5voke0_123IJujJ6yh2q4I4YR4EQ/nL01e-qmKwBKKe7R4WV6NHag_D9O-UGh_nnZF4Q61M8),QmQ8LZK6kYaw3dSdn8HUBBWieYwgKax1j1PAjcW72J8Z9B (https://dl.airtable.com/.attachments/648e65cf5b832a946ef16fb62b1ceecd/8f81d9c0/QmQ8LZK6kYaw3dSdn8HUBBWieYwgKax1j1PAjcW72J8Z9B),#b7896a,Perkies,10.42,6.94,0.67,RC-6.94_RS-10.42_RT-0.67,"RC:6.94,RS:10.42,RT:0.67","tts_PeCans-Perkies-134_{RC:6.94,RS:10.42,RT:0.67}",tts_PeCans-Perkies-134_
133,#f9b4e4,WaterMelons,t_120.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/NWI9hlM9Y8AtORgyRdMs2g/nyT1yfXjon8LGN7WMY29nIBNr3SiD-zUw2wb1Nh-JRl2hiK_zFWMTAM_Wy4qkDGoOKAXYtqtdV-luFLY9igFg1jBj8lZrtyEyL7I96w5lBs/tpEqTC0LYm7Ri2huI1jcMVGXOTp51dOP30y6r8anqec),QmS3rDGmq2oqNpLqP9jgNX1kknK9Ao38X3FL7mpzjRnQsQ (https://dl.airtable.com/.attachments/89beccaec9c3a9150c7f1a01f8e45806/1e3015ec/QmS3rDGmq2oqNpLqP9jgNX1kknK9Ao38X3FL7mpzjRnQsQ),#EF6EAA,Spades,8.33,7.64,0.92,RC-7.64_RS-8.33_RT-0.92,"RC:7.64,RS:8.33,RT:0.92","tts_WaterMelons-Spades-133_{RC:7.64,RS:8.33,RT:0.92}",tts_WaterMelons-Spades-133_
132,#f4d4fc,StarBust,t_13.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/9xA1IkfGFYI6bjO6ZAmO4Q/El-pH9esb-u6w2vWFzG-WB3_0t0r0Y5WTsCIdwylU55s1I2q8B0IzY_RLjNyj2zVpVW4cJYuT_7gskR736iSDA/Rjmc8ofAYJFogP8hTBlzr6TOi_023MgLR3UbvAT3_r0),QmTPdpM75RhKchiBFacMyS2KdgAHQKzdvFCmZuXzax2qp7 (https://dl.airtable.com/.attachments/e76e553cca6e27005ffee1798ce70051/62e13224/QmTPdpM75RhKchiBFacMyS2KdgAHQKzdvFCmZuXzax2qp7),#F3A4FF,Hypnotits,7.64,8.33,1.09,RC-8.33_RS-7.64_RT-1.09,"RC:8.33,RS:7.64,RT:1.09","tts_StarBust-Hypnotits-132_{RC:8.33,RS:7.64,RT:1.09}",tts_StarBust-Hypnotits-132_
131,#f9b4e4,WaterMelons,t_116.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/K3mbLmkPSBpi2DnzybEQJA/oBNLTdpyfdVemM_p_tTPtFRBMAWiT7_CiKW3qEihgqtr7I2Xrw4U5eStmepnvcKchvHBWdCBe8iieTLtJPxLIWCfJ65WuhOOaDX6Iq3BFTI/vSpU_zbC0dTlYfNddq7tLSGqQznb0slgHyXEyZADnJE),QmS3rDGmq2oqNpLqP9jgNX1kknK9Ao38X3FL7mpzjRnQsQ (https://dl.airtable.com/.attachments/89beccaec9c3a9150c7f1a01f8e45806/1e3015ec/QmS3rDGmq2oqNpLqP9jgNX1kknK9Ao38X3FL7mpzjRnQsQ),#EF6EAA,TotalRecalls,8.33,7.64,0.92,RC-7.64_RS-8.33_RT-0.92,"RC:7.64,RS:8.33,RT:0.92","tts_WaterMelons-TotalRecalls-131_{RC:7.64,RS:8.33,RT:0.92}",tts_WaterMelons-TotalRecalls-131_
130,#f9cdaf,CupCakes,t_127.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/jF08dZGHiHUqrf_ujt_jbg/__lgUcBlrOHeb3Q6qxMOIccAaho2CteTcmZhKjoYOdcfbKYMchtO5DabySqAnSunyUwaOLlLemQz6At86L-QEetAeMDZ7HrYufazBOEF_lw/yPEuF8Geh6ocSS9SJJx6gqLGV7VAu9-QquPSfS383ls),QmZ3o3GukiJNgiLon4D84FjmepyGBtJ3Wc4c1Ed46iZoSL (https://dl.airtable.com/.attachments/b5efab95eb96c8e64079b7ac4af01eef/e6c17ccf/QmZ3o3GukiJNgiLon4D84FjmepyGBtJ3Wc4c1Ed46iZoSL),#E29764,TotalRecalls,8.33,8.33,1.00,RC-8.33_RS-8.33_RT-1,"RC:8.33,RS:8.33,RT:1","tts_CupCakes-TotalRecalls-130_{RC:8.33,RS:8.33,RT:1}",tts_CupCakes-TotalRecalls-130_
129,#cdbef7,PurpleHush,t_49.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/DkLO-olTX5YHGu2_p9aGnw/Xjm9YsLClYqJA-Ev00i-VSoAUikaFYC6Cmj_4apuBcPynJ6in3K80jtt68KC8ViDX6cK60bZLhRgDURTv2b2vg/VSbmvAkYpX5BQ_35QQYx8bTQiUW1huMK8AiRCf2HA2E),Qmf4kCwPg6St6mzsjPtfZmvAgfz4EdeBDwR85Gsb2zqhHL (https://dl.airtable.com/.attachments/9460015687eea7fe5fcbeb2596be435a/74d64864/Qmf4kCwPg6St6mzsjPtfZmvAgfz4EdeBDwR85Gsb2zqhHL),#5F4B8B,TotalRecalls,8.33,6.94,0.83,RC-6.94_RS-8.33_RT-0.83,"RC:6.94,RS:8.33,RT:0.83","tts_PurpleHush-TotalRecalls-129_{RC:6.94,RS:8.33,RT:0.83}",tts_PurpleHush-TotalRecalls-129_
128,#f4d4fc,StarBust,t_20.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/7Aq4rCKqxjNfUj8C9yATLA/XMC-WwqJGXnUjDVu0bE3rHo0YRbfkgfRhhf7dsw9SIOk47jowkHh_kppJ2dpuP-KRbl2BpPraQ_Y7Gsufl5BRg/g9OhIwqqP9oAiKFIjAMF-DTJA-Z8bdvA5_vedHEQaEE),QmTPdpM75RhKchiBFacMyS2KdgAHQKzdvFCmZuXzax2qp7 (https://dl.airtable.com/.attachments/e76e553cca6e27005ffee1798ce70051/62e13224/QmTPdpM75RhKchiBFacMyS2KdgAHQKzdvFCmZuXzax2qp7),#F3A4FF,Spades,8.33,8.33,1.00,RC-8.33_RS-8.33_RT-1,"RC:8.33,RS:8.33,RT:1","tts_StarBust-Spades-128_{RC:8.33,RS:8.33,RT:1}",tts_StarBust-Spades-128_
127,#f9cdaf,CupCakes,t_132.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/7LiImuiVa8BUoYqGON0P5A/fUm85e59aUcEPiFYw_a9ouqQEJ-eUAMNjmNGQBNdPHl9XGZW1bRMwgmkmGET7TSeDJR3o3oCGmIshZGvL_0BKfSmT-dTVEovvv29GiZGIE8/lf2EqVjHKc43KFCO1xinCKZoFdaLGD6YXyDvMYaOx8s),QmZ3o3GukiJNgiLon4D84FjmepyGBtJ3Wc4c1Ed46iZoSL (https://dl.airtable.com/.attachments/b5efab95eb96c8e64079b7ac4af01eef/e6c17ccf/QmZ3o3GukiJNgiLon4D84FjmepyGBtJ3Wc4c1Ed46iZoSL),#E29764,Trooper,6.94,8.33,1.20,RC-8.33_RS-6.94_RT-1.2,"RC:8.33,RS:6.94,RT:1.2","tts_CupCakes-Trooper-127_{RC:8.33,RS:6.94,RT:1.2}",tts_CupCakes-Trooper-127_
126,#eacece,CocoNaugthy,t_2.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/xBVh9Nnftcojjhu8lyEDEA/lzMiqhE9Z_H23R8NHqdbpkW4Az9mV4eDdIXVNlt0vbZ8SzEF18r0TZqgvpyNdIRhcnSQOb5wZ4aSdHatOyi9ow/PlkGDwgIVh_kShWz5iO1ecyNthKXgUY80bvxHw7KRks),QmSfZtwMCQ1nF2xt8vM3FDJudgw6uNwR6fdkuAn6hQ5cKS (https://dl.airtable.com/.attachments/ba3095af1bb3382da6d8d18c31c7483a/a51854b3/QmSfZtwMCQ1nF2xt8vM3FDJudgw6uNwR6fdkuAn6hQ5cKS),#D6AAAA,Hypnotits,7.64,8.33,1.09,RC-8.33_RS-7.64_RT-1.09,"RC:8.33,RS:7.64,RT:1.09","tts_CocoNaugthy-Hypnotits-126_{RC:8.33,RS:7.64,RT:1.09}",tts_CocoNaugthy-Hypnotits-126_
125,#9bd3f9,BooBerries,t_64.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/WuFD-5RlzeojoTY_eenj9Q/uvgNQufu7PxnsX8fhE2qlR-Mvf86UuunYW66lXQQcVQDSwW4nZsdn3OL7g4-XfaYFHLmGdqnqwLxAg1af_g-cA/tSDVRduJNrg2p2wRs0jby4DgGW7iaat6qXK5hd4OT1g),QmXRtjtcHHedBCutzLYcf8fU6LmSByTmUDEZf1buqKtpeN (https://dl.airtable.com/.attachments/a3ddc3d4f4bb4608b31720ddcb5277a6/8d073130/QmXRtjtcHHedBCutzLYcf8fU6LmSByTmUDEZf1buqKtpeN),#30B4E2,Spades,8.33,7.64,0.92,RC-7.64_RS-8.33_RT-0.92,"RC:7.64,RS:8.33,RT:0.92","tts_BooBerries-Spades-125_{RC:7.64,RS:8.33,RT:0.92}",tts_BooBerries-Spades-125_
124,#9bd3f9,BooBerries,t_5.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/NhQHD8wgZjxo5ZSUTLyZMg/_s3kXpaiRstvdLEMs7VM7Bn-zpGsyAQPX7A39kt00zOuZWzNTmfuWnDNvBloPUNgzDpPL7mifanlb2R7V-zyXQ/1uW8NXtImT7Zr9Ci9nanoIJBQU6n0W4lvep0_LylEAU),QmXRtjtcHHedBCutzLYcf8fU6LmSByTmUDEZf1buqKtpeN (https://dl.airtable.com/.attachments/a3ddc3d4f4bb4608b31720ddcb5277a6/8d073130/QmXRtjtcHHedBCutzLYcf8fU6LmSByTmUDEZf1buqKtpeN),#30B4E2,TotalRecalls,8.33,7.64,0.92,RC-7.64_RS-8.33_RT-0.92,"RC:7.64,RS:8.33,RT:0.92","tts_BooBerries-TotalRecalls-124_{RC:7.64,RS:8.33,RT:0.92}",tts_BooBerries-TotalRecalls-124_
123,#f9b4e4,WaterMelons,t_112.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/xiLxmpKQWNIQCzXdV4ApCw/QaQ5JpQGh0eE8Nih2YghRwFUBeXi756x6WFOYsn3ThTca3GA2sTjnLgm718xAeYUVWSt_7lzTS2OxmNfIV3LZhpiMdwL3hl9r8ZjjaH2Sqg/paxlWGO7ndumzISrwI-EZO61oREtcijYqmYFRG7jfRU),QmS3rDGmq2oqNpLqP9jgNX1kknK9Ao38X3FL7mpzjRnQsQ (https://dl.airtable.com/.attachments/89beccaec9c3a9150c7f1a01f8e45806/1e3015ec/QmS3rDGmq2oqNpLqP9jgNX1kknK9Ao38X3FL7mpzjRnQsQ),#EF6EAA,Hoots,8.33,7.64,0.92,RC-7.64_RS-8.33_RT-0.92,"RC:7.64,RS:8.33,RT:0.92","tts_WaterMelons-Hoots-123_{RC:7.64,RS:8.33,RT:0.92}",tts_WaterMelons-Hoots-123_
122,#f9cdaf,CupCakes,t_128.svg (https://v5.airtableusercontent.com/v1/15/15/1680681600000/caS-I5d5NQAj4fzm8kr-tg/xM2uh0AHdwhD_Q0p5vTwEGFUy8G5mndlznAlON1qrkwwZzdqFnaUg_37RClKhwUvUe0bidxQel2YgGkkbvIMciZ0YxuZC9hbq2RaDxhpDh4/kl0EQcTojKA_Kn8Z_ZsnnYrg86RLeUe4ujnEucrR91I),QmZ3o3GukiJNgiLon4D84FjmepyGBtJ3Wc4c1Ed46iZoSL (https://dl.airtable.com/.attachments/b5efab95eb96c8e64079b7ac4af01eef/e6c17ccf/QmZ3o3GukiJNgiLon4D84FjmepyGBtJ3Wc4c1Ed46iZoSL),#E29764,Perkies,10.42,8.33,0.80,RC-8.33_RS-10.42_RT-0.8,"RC:8.33,RS:10.42,RT:0.8","tts_CupCakes-Perkies-122_{RC:8.33,RS:10.42,RT:0.8}",tts_CupCakes-Perkies-122_
